Index,L1,L2,L3,L4,L5,L6,L7,L8,L9,A1,A2,A3,A4,A5,A6,A7,A8,R1,R2,R3,R4,R5,R6,R7,R8,t,L,max_deflection (mm)
5391,6.1,3.5,11.2,8.1,2.9,30.5,34.5,2.83,2.06,100.09,97.51,104.84,104.64,102.36,100.48,101.5,98.6,6.6,7,7.6,7.2,8,7.2,8,6.2,1.4,938,142.652954101563
13944,0.8,10.7,2,11.7,1.6,34,26.5,-11.81,1.07,94.06,90.61,95.54,91.79,93.35,88.74,92.84,82.94,6,7.8,7,8,7.8,7.6,7.6,6.8,1.5,1012,108.474884033203
7203,8.1,4.4,9.4,4.2,6.3,34.5,34.5,2.65,-8.41,102.41,103.21,98.2,103.83,99.98,100.88,99.1,98.79,7.6,6.8,7.8,6,8,7.4,6.2,7.6,1.6,982,141.311782836914
10842,6.2,9.1,23.3,11.5,10.2,29,32.5,-3.7,-4.7,101.18,99.67,103.2,102.3,98.86,94.03,112.44,108.63,7.8,7.8,7.2,6,6.4,7.2,6.2,8,1.5,1044,112.466094970703
16539,1.9,2.4,0.8,7.5,4.4,32,35,2.16,-4.63,99.58,102.62,102.41,102.41,104.3,97.6,107.73,103.3,6,7.2,7.8,7.2,7,6.8,6.8,7.4,1.4,938,148.282501220703
8297,7.8,6.7,14.1,4.1,8.8,35,25,2.67,-8.44,100.78,100.75,100.7,103.73,100.29,102.41,97.9,99.69,7.6,6.2,7.6,7.2,6.6,6.6,6.8,6.6,1.4,906,146.941879272461
7673,3.2,13.9,9.8,13.2,3.2,32,31.5,-10.08,-0.99,10.18,82.63,104.04,91.68,92.98,80.94,106.86,12.06,7,7,6,6.6,7.4,7.4,6.6,7.8,1.2,1008,142.448440551758
2678,9.2,10.6,24.3,13.8,11.5,35,26.5,-3.43,-5.5,100.69,96.92,103.51,103.83,99.16,92.08,111.11,106.71,6.2,6.6,6.4,8,6.6,7.8,6.4,7.4,1.4,984,112.906227111816
14130,3.6,2.7,1.9,2.7,5.4,27.5,31.5,-2.72,0,64.8,94.67,103.92,101.23,102.21,102.72,96.73,60.38,7.2,6.6,7,6,6.8,7.8,7.4,7,1.8,938,122.067718505859
5748,5.6,2.2,1.2,0.8,8.6,28,29.5,3.46,0,66.63,99.47,102.72,92.41,111.6,100.8,101.4,100.18,6.4,6.2,6.4,6.8,6,7,7.8,8,1.5,1026,146.412063598633
4648,2.8,4.7,23,4.9,2,31,34,0.24,0.99,103.33,97.3,98.41,100.2,100.57,102.4,97.02,104.52,7.4,7.2,8,7.2,6.2,6.2,7.4,6.6,1.4,1050,119.744651794434
1277,2.5,1.6,5.3,4.7,3.5,35,25,4.14,6.54,100.9,93.98,103.12,98.89,101.36,98.39,96.9,99.6,6.2,7,6.4,7.6,8,7.6,6,7.4,1.7,976,111.662338256836
11405,5.5,0.1,2,5.6,5.5,34,34.5,4.26,5.74,100.7,92.13,101.69,99.38,103.72,97.02,96.9,98.5,7.6,8,6.6,7,6,6.2,6,7,1.4,902,112.589416503906
5386,3.5,1.8,1.7,2.9,1.4,26,35,-3.16,0,64.86,97.08,104.44,102.37,100.99,101.3,98.7,60.32,7.8,8,7.2,7.6,7.6,6.2,7,6.2,1.4,1020,122.76286315918
8599,2.3,2.6,0.5,3.2,0.8,32,27,3.62,3.14,96.7,106.34,86.18,105.67,99.27,108.05,90.23,99.3,7.2,7.6,7,6.6,6,6.4,6.4,7.6,1.6,958,138.347915649414
4253,9.3,4.9,1.6,2.9,5.2,31,35,26.68,0.96,110.26,95.83,142.28,138.08,131.17,123.38,104.2,103.61,6.6,6.8,7.4,7.6,6.4,7.6,6.4,6.2,1.7,1034,120.069931030273
3273,1,11.6,1.3,2.7,1.4,28.5,28,0.61,0,70.83,99.57,109.69,121.48,95.51,111.57,93.66,67.97,6.4,6.2,8,6.8,7.6,7,7.2,7.2,1.5,1058,152.921676635742
8719,5.9,2.7,5.9,3.9,7.8,29,34.5,4.14,6.31,99.4,91.67,101.49,97.71,104.24,97.51,98.35,100.3,6.2,6.8,7.4,7.4,6.2,6.4,6.2,6.4,1.4,974,109.707252502441
1402,3.2,6.2,1.5,2.5,1.1,31,29.5,1.81,-5.35,98.8,102.62,101.4,100.77,103.99,97.6,107.09,102.78,6,6.6,7,6.2,6.8,7.2,7.2,7.8,1.6,968,147.730331420898
2746,2.2,11.3,5.3,10.9,2.1,34.5,28,-10.36,-0.99,10.11,84.22,102.61,90.31,92.41,80.53,107.39,11.89,7,8,7.6,7.8,7.8,7.6,6.8,6.2,1.2,972,103.54874420166
700,7,14.1,26,10,9.1,29.5,28,-3.19,-4.84,100.79,96.63,101.65,101.79,95.94,92.63,111.89,107.67,6.6,6.6,7.2,7.4,7.8,7.4,6.8,6.6,1.5,906,96.1404113769531
12558,7.3,1.5,9.8,9,8.5,31,35,2.56,-8.33,101.09,101.16,101.7,101.57,101.5,101.39,101.5,98.79,6.4,7.4,6,7.6,7,7.4,6.4,7,1.7,984,110.60733795166
16180,1.1,2.6,2.9,3.7,5.7,34,30,3.87,1.54,100.49,97.37,95.94,98.11,101.75,99.7,96.73,100.88,6.2,6,7.4,7.8,6,7.6,7.6,7.8,1.5,990,149.462188720703
6583,5.4,2.5,1.1,0.1,5.5,30.5,32.5,3.6,0,67.1,96.73,101.2,92.79,109.95,101.2,98.29,98.01,6.8,7.8,6,6.8,6.4,7.6,7.4,6.2,1.5,1056,153.916137695313
7274,1.6,2.4,6.3,2.5,11.2,31,34,3.54,0,66.03,97.02,101.3,96.19,108.51,101.2,99.9,97.12,6.2,7.8,6.6,6.4,7.6,8,7.2,7.6,1.5,1002,138.136444091797
14645,3.7,13.9,18.9,15,8.6,31,29,0.29,-0.79,96.47,94.34,98.98,104.56,95.62,98.58,95.34,93.07,6.8,7.2,6.2,7.2,6.2,7.8,6.6,6.8,1.8,926,121.745903015137
15013,4.9,6.6,14.1,10.1,7.9,28,33,20.04,-2.82,99.09,97.7,132.2,131.99,128.67,126.79,102.18,101.27,7.4,6.6,6,7.4,7.6,7.4,6.4,7,1.4,1020,133.411178588867
11311,5.8,8.6,15.5,4.6,3.6,30.5,25,2.4,1.82,99.1,97.41,102.55,101.44,102.25,99.88,101.8,101.8,7.8,7.6,6.6,7.6,7.8,7.8,7.2,6,1.2,920,157.168884277344
4714,5.9,3.2,1.5,0.6,6.6,30.5,31,4.39,0.83,101.35,104.05,98.5,99.19,107.36,92.63,112.35,109.3,7.6,7.2,6.2,7.8,6.4,7.4,6.4,6,1.3,982,129.2685546875
6238,2.2,9,2.7,8.4,2.3,31,28.5,0,-3.6,116.44,112.84,89.76,105.65,96.73,120.02,82.51,92.68,7.6,6.4,7.2,7.4,8,6.4,7.8,6.2,1.8,910,130.834579467773
11522,3.2,7,0.8,3.6,1.2,30.5,31.5,2.06,-4.85,99.78,99.79,101.3,101.08,105.14,95.84,107.84,105.47,6.8,6.8,6.6,7,7,7,7.6,6.2,1.3,1036,166.185424804688
13857,3.5,2.5,3.2,1.8,5.2,29.5,28.5,3.16,4.1,98.21,93.16,104.85,101.5,102.1,101.91,94.64,97.81,7.4,7.4,6.8,7.2,6.4,6.2,7.4,6.2,1.6,976,106.218849182129
864,3.6,6.3,0.1,5.4,2.9,27,26,4.18,1.57,98.6,96.5,96.73,100.89,104.02,97.81,97.9,99.89,7.4,6.6,7.8,7,8,7.4,8,6,1.7,986,147.009613037109
5931,5.2,8.9,2.6,10.2,1.6,29,25.5,-13.08,1.03,96.72,90.43,98.25,91.06,89.87,86.65,92,81.79,8,6.6,7.4,7.4,7.2,8,6.2,6.6,1.3,1012,107.727287292481
12130,6.1,2.6,17.7,8.9,1.9,26,30.5,0.25,1.08,100.79,95.94,100.69,100.9,96.92,102.81,93.87,106.08,7.2,6.2,7.2,8,7.4,8,6.8,8,1.2,1014,118.453216552734
1587,4.5,1.8,2.6,0.1,1.2,31.5,28.5,-2.92,0,65.51,97.08,101.75,103.4,101.7,102.72,100.48,59.59,6.2,7.8,7.8,7.6,6.8,7.2,6.6,7.2,1.2,962,150.418045043945
16395,6.2,9.9,1.1,3.4,2,28,34.5,0.65,0,72.32,100.28,109.58,122.82,92.78,114.17,94.89,68.17,6.2,7.2,7.4,6.8,7.8,6.2,7,7.8,1.8,986,131.846832275391
11530,7.8,8.7,16.2,6.7,2.5,31.5,26,2.79,1.89,97.61,97.71,103.17,102.88,105.67,98.4,102.01,100.7,6.2,6.6,7.6,7,6,7.8,8,7.8,1.7,904,122.607048034668
16388,16.6,0.8,32.8,6.8,21.6,29.5,33.5,25.25,0.29,100.07,100.29,150.67,157.23,144.52,144.58,101.38,102.91,7,7,8,6.6,7,6.8,6.2,6.6,1.3,950,147.464050292969
14520,7.4,14.4,28.9,14.6,10.9,29,29,-3.42,-5.35,100.39,97.81,103.82,104.35,97.11,93.38,109.56,106.82,8,7.2,7,8,6.4,6.6,8,8,1.5,1036,130.953857421875
13636,7.1,6.1,14.5,5.8,8.4,33.5,31.5,2.65,-8.78,102.51,104.65,98,102.29,101.91,103.84,100.7,98.69,7.8,6.4,8,6.2,7.2,7.4,6,7.2,1.3,1038,160.247741699219
6764,3,3.6,12.9,3.4,7.4,28,34,2.49,1.72,98.8,99.28,102.65,104.54,104.43,97.52,98.59,98.7,7.2,7,7.6,7.4,6,7.4,7.2,8,1.5,918,133.454574584961
11633,6.2,11.3,0.6,11.4,4.3,29,33.5,0,-3.67,118.91,110.81,89.59,103.77,98.31,118.93,82.76,91.85,6,6.4,6.4,6.8,6,6.2,7.8,6,1.4,1048,124.079811096191
145,6.1,1.6,2.5,1.2,7.7,28.5,29.5,3.62,0,68.24,96.14,99.98,94.58,110.72,100.7,100.9,96.63,8,7.2,6.6,7,8,6.6,7.2,7.4,1.5,1024,153.323654174805
15227,16.3,2.9,32.3,6.8,21.7,29,30.5,25.15,0.31,98.3,99.6,149.6,154.15,144.23,145.44,102.5,102.91,7.8,7.6,6.4,7.6,6.4,6,6.2,7.6,1.6,1056,123.342422485352
5052,3.7,11.2,0.3,11.7,0.9,31,34.5,0,-3.73,119.14,114.3,90.03,103.98,97.12,120.5,83.25,93.42,7.8,8,6.8,6,7.6,6.2,6.6,8,1.6,942,109.24934387207
4269,0.9,1.6,0.9,0.1,6.3,30.5,30,3.28,4.74,129.42,112.52,120.25,124.17,122.82,127.23,109.6,115.5,6,6.8,7.2,6,7.6,7.2,6.2,7.8,1.4,924,121.429725646973
63,4.4,2.4,1.9,2.3,2.2,33,30,3.42,4.08,99.5,92.79,106.43,101.1,104.24,99.57,94.92,97.51,7,6.4,6.6,8,6.8,7.6,6.2,7,1.2,904,158.520278930664
13889,5.7,13.2,18.4,12.4,7.9,33,32.5,0.33,-0.82,96.18,94.63,102.01,106.66,97.44,97.8,95.25,93.64,7.8,7.2,6.6,6,6,7.4,8,6,1.3,978,135.849166870117
7884,4.7,2.7,0.3,1.7,2.8,31,33,-2.76,0,65.38,95.44,104.85,105.37,99.67,102.41,98.7,61.29,7,7.6,7.8,7.4,6.8,6,7.6,6.2,1.3,958,142.596801757813
13211,2.3,2.4,0.4,4.1,2.5,35,31.5,2.05,-4.69,99.68,100.39,102.11,102.3,103.99,98.38,105.58,102.26,8,6.6,7.8,6,7,6.6,7.2,7.2,1.3,1034,156.918960571289
6982,7.3,12.1,24.7,12.3,11.7,28.5,32.5,-3.85,-5.05,99,96.83,102.68,100.46,98.86,94.96,113.22,106.82,6.6,6.2,8,7.2,6.4,6.2,7,7.8,1.2,1028,123.379653930664
7343,5.1,6.2,21.9,4,3.5,31.5,25,0.27,0.97,101.3,95.74,97.12,101.9,99.39,102.5,95.78,105.46,6,7.8,6.4,7.8,7.4,7.2,7.2,7.6,1.3,1056,151.917083740234
4104,0.2,4.2,22.4,3.4,2,30,28,0.27,1.04,101.91,97.21,99.1,99.9,98.7,102.5,97.31,103.17,8,7.2,7,6.6,6.6,6.4,7.2,7.2,1.3,1006,157.845825195313
13570,3.8,2.3,1.4,1.3,3.3,32,34.5,-2.88,0,65.97,96.99,104.95,102.47,100.58,102.92,96.82,60.8,7.6,6.6,6.8,7.4,7.2,7.8,6.6,6.6,1.4,1026,107.567680358887
317,9.6,9.4,25.9,11.5,7.9,28.5,34,-3.42,-5.12,97.81,96.63,104.13,102.71,97.79,92.63,110.56,105.33,8,7.8,6.8,7.4,7.6,8,6.2,6.8,1.6,934,127.470397949219
12759,0.6,1.8,0.4,6.1,1.9,31,32,4.13,1.39,97.51,95.92,99.07,100.79,102.78,99.9,98,98.11,7.8,6,6.8,6.4,6.6,6.2,6.8,6,1.6,990,138.682952880859
1585,3.4,0.8,6.2,0.6,6.4,30.5,32.5,3.39,0,67.77,96.24,99.48,93.45,108.84,100.7,99,98.99,7.2,6.8,6.6,7.6,6,7.4,7.4,6,1.8,962,96.1319046020508
735,7.5,9.1,23.1,10.4,12.1,28.5,25,-3.26,-4.97,99.2,98,103.92,101.17,99.06,91.24,110.11,104.69,6,7,7.6,7.8,7.2,6.2,6.6,7.8,1.5,1056,118.900749206543
4934,2.8,1.7,2.1,3.3,2.9,34.5,27,1.97,-5.44,99.68,101.81,99.58,101.59,103.16,97.5,106.66,103.92,7.4,7.8,6.4,6,8,6.6,6.8,6,1.7,978,106.829635620117
2840,7,5.6,11.1,5.2,10.1,29.5,27.5,2.67,-8.77,99.87,104.24,101.5,101.27,99.78,103.33,100,101.3,6.4,7.8,6.4,6,6.4,6.8,6.6,6.2,1.3,902,147.831451416016
11399,1.7,2.4,1.8,0.7,6.5,29,26,3.11,4.11,126.32,114.78,125.03,125.18,119.29,125.59,109.27,115.38,6,8,6.6,6,6.6,7.4,8,6.2,1.5,936,142.574813842773
999,20.1,5.8,31.5,5,18,25.5,30.5,21.7,0.32,98.79,97.51,151.58,154.15,143.24,141.55,101.48,101.58,7.6,7.8,7.6,7.4,7.8,6.6,7.8,6.4,1.6,1014,110.520347595215
10708,7.5,4.2,3,3.3,1.6,28.5,27,3.85,4.39,98.11,90.94,104.53,100.4,104.04,103.53,92.58,98.01,7.6,7.2,6.4,7.6,6.6,6.4,7.2,7.6,1.7,914,111.011184692383
4740,2.8,4.2,21.7,7.3,2.3,30.5,32,0.27,1.04,102.82,98.57,100.49,99.8,98.8,102.09,94.64,105.46,6.6,8,7.2,7.4,6.4,7,6,6.4,1.3,1016,145.546646118164
14128,4.4,6,15.2,6.7,4.8,32,27,2.98,-8.87,101.9,100.95,98.6,102.09,101.3,101.7,98.2,101.91,8,6.4,7.8,7.8,7.8,7.6,8,6,1.8,962,100.765838623047
4504,15.7,4.2,16.7,8.3,17.5,28.5,32,3.15,-7.9,97.46,97.51,98.68,98.79,99.59,100.4,99.6,99.08,7.2,8,7.8,6.4,7.4,7.4,7.4,6.6,1.8,920,93.0371246337891
5956,3.1,2,2.3,1.3,1.4,34.5,33.5,4.04,2.98,95.25,105.38,86.61,103.91,97.02,106.87,90.23,98.6,6.4,6.8,6,7.6,7.8,6,6.2,6.8,1.7,976,129.389587402344
7975,2.5,6.9,3,4.1,0.4,32,28.5,4.26,1.58,100.49,98.33,98,99.4,101.95,98.9,98.1,100.49,7.6,6,7.6,7.2,7.2,6.6,8,7.8,1.7,950,138.955017089844
13496,8.2,13.4,17.6,13,7.8,32,26.5,0.28,-0.86,96.66,94.63,99.79,103.61,97.06,97.7,94.12,94.68,6.2,6.4,8,6,6.4,6.6,7.6,7.8,1.2,1026,149.576675415039
5986,5.9,4.8,12.8,7.8,6.9,29,35,2.91,-9.07,103.43,103.83,100.6,101.16,102.72,101.7,100.9,99.9,7,7.4,7,6.4,6.2,6.8,7.2,7.8,1.3,920,143.052780151367
16083,16.4,3.8,30,6.4,19.7,34.5,29,25.01,0.31,100.27,97.91,150.98,155.38,142.1,141.12,103.63,103.22,6.6,6.2,6,6.6,6.8,8,7,6.8,1.5,976,147.040405273438
13961,4.4,1.8,3.1,0.9,6.4,27.5,34,3.2,4.58,130.7,113.09,120.98,125.69,119.9,127.99,109.83,116.78,6.2,6.6,7.4,7.6,7.6,6.2,8,7.2,1.2,936,162.458892822266
15261,4.6,11.8,1.2,8.4,0.5,34,27,0,-3.92,119.14,114.75,87.64,104.6,98.8,118.09,80.87,90.84,6.2,6.4,6.6,7.2,6,6.8,7.2,7.2,1.6,1018,118.727088928223
6441,0.1,5.9,2.6,2.4,3.3,35,27.5,1.97,-5.5,97.71,101,100.59,102,106.18,97.31,105.48,101.95,7.4,6.4,6.8,7.2,6.6,6,7.2,7.4,1.3,944,159.743606567383
6572,6.7,3.3,3.7,0.9,7.3,33.5,32,3.86,0.87,104.85,106.47,98.8,96.63,107.25,89.96,113.14,108.22,7.4,7.4,6,7.8,7.6,7.2,7,6.6,1.8,984,133.561096191406
4933,7.5,3.7,16.1,4.3,4.2,30,25,2.7,1.88,98.51,98.89,102.96,105.36,103.91,99.98,98.7,101.3,8,7.4,6.6,7,8,8,6,7.4,1.7,982,101.284065246582
6931,3.6,4.5,0.3,7.7,4.5,28.5,28,1.99,-4.84,96.83,100.7,101.91,103.84,105.03,97.02,107.84,104.85,7.6,6.8,7.2,7.6,8,7.4,6.2,6.6,1.7,1012,119.084510803223
6581,2.5,0.5,1.6,3.5,4.1,34,34.5,3.94,6.38,98.7,92.96,103.53,97.42,100.84,96.43,96.22,99.3,7.2,6,7.2,7,6.8,6.6,6.8,8,1.3,944,109.29817199707
3024,5.2,5.1,13.7,4.5,8.9,28,26,3.06,-9.13,100.99,104.45,98.4,101.57,100.08,101.7,99.4,99.69,6.2,6.8,7.4,7.2,7.6,8,6.4,7.2,1.8,1004,116.890838623047
15951,4.2,14.2,2.6,11.5,3.4,30.5,25,-13.41,1.04,96.63,91.51,95.35,93.08,92.53,87.96,92.28,82.36,8,6.4,7,6,7.8,6.4,7,7.8,1.7,1040,104.381355285645
15143,3.2,0.2,2.6,2.5,4.3,27.5,32,-3.28,0,63.76,96.02,105.16,101.85,101.7,99.97,100.08,60.86,6.6,6.8,6.4,7.4,6,7,6,6.6,1.7,966,128.314819335938
17104,7.8,6.7,14.9,3.4,9.9,27,25,3.04,-8.44,101.09,103.83,98.3,104.45,100.08,102.72,100.5,102.21,6.6,7.2,6.6,8,7.6,6.6,6.8,6.6,1.3,938,128.790603637695
3864,3.6,4.2,2.6,4.4,4,34.5,34,1.8,-5.13,96.92,101.71,101.91,103.02,105.03,97.41,109.34,104.64,7,7.8,6.8,7.6,8,6,8,7.8,1.8,904,127.661148071289
14114,4.9,11,21.4,12.6,7.5,33,28,0.28,-0.87,96.95,95.58,100.19,105.82,97.82,99.06,92.51,95.43,6.2,7.2,6.4,7.2,6.8,6.6,6.2,7.8,1.4,1058,108.393539428711
15225,1.1,2.3,17.7,6.4,0.8,30,25,0.24,0.99,102.92,96.43,99.99,98.2,97.52,101.99,94.54,102.75,8,7,7.4,6,6,7.2,7.6,8,1.2,1008,169.357086181641
11846,0.3,0.5,3.1,2,4.5,25,29,0.55,0,94.93,103.63,91.84,89.27,106.15,96.29,98.45,98.28,6.4,6.8,6.4,7.6,6,6.2,7.2,8,1.8,944,100.957374572754
12512,4.9,11.7,2.5,7.4,1.7,27.5,31.5,0,-4.27,115.27,112.84,90.12,105.54,98.31,118.33,83.09,93.42,7.8,7.2,7.4,8,6.8,6.6,7.2,6,1.5,920,133.44987487793
11357,3,10.5,0.3,10.4,3.7,32,26.5,-13.44,1,95.3,88.18,98.44,92.62,92.16,88.48,93.03,81.05,6.2,7.8,6.8,6.2,7.6,7.4,6.4,6.8,1.7,1006,92.3092346191406
12883,2.9,3.5,3.4,1.9,7.3,26.5,25.5,4.27,0.74,103.52,103.21,100.7,97.81,104.48,93.45,113.36,109.84,7.6,7.6,6.2,7.2,7.4,8,8,7,1.5,936,110.747245788574
6395,0.8,10.7,0.1,9.1,1.1,29,32,-13.74,1.05,93.77,90.07,97.67,92.25,92.43,87.52,94.71,82.36,7.2,6,6.6,7.2,6.4,6.2,7.8,7.6,1.4,994,142.18798828125
11119,19.5,6.6,30.3,6.5,20,27.5,35,21.55,0.27,97.91,99.4,154.64,156.77,143.38,142.27,101.69,102.81,6,7.6,6,6.6,7.8,8,6.6,7,1.2,1058,166.215637207031
14557,5.4,6.2,2.7,3.1,3,31,28.5,3.84,0.77,102.69,105.1,100,97.02,105.44,92.08,114.72,105.74,6.8,6,6.8,6.6,7.4,7.2,7,6.8,1.5,978,108.882217407227
15852,6.8,5.3,15.3,4,8.4,30.5,28,2.95,-8.53,101.9,101.88,100.1,102.7,101.4,102.41,98.9,101.4,7.4,6.2,6,6.8,7.2,7.4,7.8,7.2,1.5,1006,153.505584716797
2737,7.2,5.7,15.5,4.2,4.4,35,26.5,2.7,1.79,98.21,97.22,105.87,104.23,105.46,99.09,102.11,99.2,7,6.6,7.4,7.6,6,7.6,6.6,6.8,1.5,1004,105.93229675293
11445,4,2.5,2.9,2.3,1.1,35,25.5,1.98,-4.54,96.53,100.49,99.48,100.67,102.85,98.97,108.8,103.61,6.8,6.6,8,7.2,6.8,6.8,7,7.8,1.7,974,116.637657165527
13104,5.9,9.3,13.8,5.8,2.6,30,27.5,2.78,2.04,99.4,96.24,104.84,104.85,102.77,97.42,99,100.1,6.2,7,6.2,7.8,7,6.2,7.6,6.2,1.5,974,104.353179931641
15014,18.4,8.8,18.6,8.1,18.9,26.5,31,3.46,-7.5,97.56,96.04,98.98,96.83,101.81,98.4,98.11,99.57,6.6,6.6,6,7.4,7.4,7,7.4,6.8,1.7,916,121.761642456055
4654,5.4,2.6,0.9,1.2,4.5,30.5,26,0.52,0,92.67,101.68,93.59,88.19,106.26,96.29,98.84,95.75,7.2,6.8,6.4,7.8,6.2,6.8,6.2,7.8,1.6,1032,122.414695739746
4314,5,11.1,21.4,12.9,7.6,29.5,27,0.28,-0.73,93.88,93.77,101.4,105.72,96.1,97.5,94.68,93.83,6.4,7,7.8,8,7.6,8,6.2,6.4,1.2,1040,161.071701049805
4799,4.2,5.2,1,4.7,2.8,28,27,2,-5.44,99.78,99.99,100.79,103.94,105.24,97.99,107.84,103.92,6.2,6.2,7,7.6,7.8,7.8,7,7.6,1.8,966,142.975219726563
2786,6.6,6,13.4,2.7,6,33,27.5,2.58,1.77,97.71,99.97,102.34,104.74,104.43,99,100.5,99.6,7.6,6.4,6,6,7,7.2,7.2,6,1.3,1056,161.843811035156
11017,3.5,0.3,2.6,2.1,4.4,28,25.5,-3.02,0,64.35,96.99,104.44,104.23,103.63,103.02,100.38,61.1,7.4,7.6,6.8,7,7.4,6.4,7.8,6,1.3,936,111.702949523926
16734,6.2,1.4,1.6,3.2,2.6,28,30,4.32,3.02,95.25,107.84,85.84,102.46,96.04,105.8,91.22,99.7,8,6.2,7.6,7.8,7.2,7.6,7.8,6,1.6,1032,144.685989379883
4044,2.4,5.4,21.5,5.9,0.5,26,27.5,0.26,0.94,100.79,97.89,100.88,101,100.08,102.19,95.5,102.96,7.6,7.6,6.2,7,8,7,7,7,1.7,1010,140.274810791016
6015,3,6.9,11.6,4.3,4.7,34,33,2.42,1.76,97.71,97.22,104.52,103.61,104.43,98.5,101,101.2,6.2,7.2,6.4,7.2,6.2,7.2,6.6,6.8,1.6,990,129.830261230469
12452,4.1,3.9,1.6,1.2,0.4,35,25,0.52,0,94.27,102.91,92.3,90.89,109.51,97.63,97.87,98.87,7.8,6.8,6,7,6.8,6.6,7.8,8,1.7,976,114.317909240723
1286,3.3,5.1,1.6,1.3,0.7,25,29.5,3.21,4.22,100.39,91.96,107.18,98.5,103.02,101.5,95.48,99.38,7.8,7.4,7.2,7.2,6.4,6.2,6.8,6.6,1.4,944,127.050437927246
17052,1.6,4,20.6,7,0.8,29,30.5,0.25,0.98,102.41,96.92,100.88,101.3,98.01,102.19,94.26,103.9,6.8,7.2,7.8,7.2,8,7,7.2,6.8,1.6,928,134.375274658203
7527,3,0.2,3.1,1.4,2.7,34,27,-2.96,0,63.96,98.24,104.85,102.58,102.21,103.43,99.39,60.86,6.6,6,7.8,6.6,8,7.4,7.2,6.4,1.2,992,154.812637329102
2941,4.2,6.9,21.4,5.8,2.6,34,33,0.27,0.92,102.11,97.99,100.88,99.5,98.01,103.83,93.78,103.69,6.6,6.2,8,6.6,7.4,7.6,6.2,6,1.8,1032,92.3984146118164
16371,2.5,4.5,18.9,5.6,3,33,32,0.23,1.1,101.4,96.82,97.61,101.8,97.22,102.6,96.74,104.73,7.8,6.2,6.6,6.6,6,7,6.6,8,1.7,1048,97.5809936523438
6637,19.4,3.3,31.4,5.6,20.3,28,32,26.21,0.31,97.81,98.8,150.52,152.6,144.94,141.7,100.66,102.81,6.8,6,7,6.4,6.6,7.8,7.6,6.8,1.5,994,144.466369628906
190,18.7,3.2,19.3,5.1,16.6,25.5,33.5,3.12,-7.63,97.85,97.12,97.21,98.4,100.4,101.49,101.29,96.83,7.8,6,7.6,7,7.2,6.8,7.8,8,1.8,1000,131.884765625
7091,2.5,12.3,2.8,1.3,1.1,26,27,0.58,0,69.62,103.02,109.91,121.73,95.42,114.62,95.84,66.62,7.6,7.4,7.4,6.2,7.8,7,6.2,7.8,1.6,954,112.628082275391
13868,4.4,10.4,0.9,9,5.3,27.5,29.5,0,-3.94,115.74,114.64,88.43,102.62,99.49,119.9,82.59,92.96,7.8,6.4,6.4,7.6,6,6.2,6,7.8,1.3,1012,153.633377075195
12911,1,10.4,1.3,12.8,5.5,28.5,31,-12.5,1.08,97.01,88.18,97.28,90.51,89.96,85.87,93.96,81.95,7.8,6.6,8,6.8,7.8,6.4,7.4,8,1.5,996,136.024261474609
8025,4.8,8.8,2.7,1.8,1.1,28.5,31.5,0.63,0,70.12,100.28,109.04,120.64,93.72,110.67,95.55,66.89,6.6,6,7,7.6,6.6,6.6,7.4,7,1.4,1020,123.255569458008
16221,3.3,0.3,0.1,1.9,5.7,30.5,28.5,0.51,0,93.33,103.73,94.05,91.43,106.15,97.92,98.26,95.84,6.6,8,6.4,6.6,6.8,6.2,7.4,8,1.4,906,108.300445556641
6298,5.2,10.8,8.9,11,3.2,28.5,28.5,20.32,-2.8,98.2,98.09,128.02,131.86,130.35,125.89,101.04,101.68,7.4,6,7.4,6.2,8,7.6,6.6,7.4,1.2,976,180.365341186523
15740,6.1,5.5,3,4.9,4.7,34,28.5,3.66,1.46,99.5,94.86,96.04,100.49,103.71,100.2,97.12,98.01,6.2,7.2,7.2,7.6,6.2,7.4,6.6,7.4,1.2,902,148.486953735352
11293,4.1,2.5,3.1,2.7,0.7,29.5,32,4.38,2.72,95.54,107.84,85.16,105.15,97.51,106.98,90.59,101.2,7,7.4,6.6,6.2,6.2,6,7,6,1.8,902,95.0160293579102
146,10.5,12.9,28.3,14.6,10.3,33,34.5,-3.7,-4.57,98.41,99.28,103.51,100.97,98.67,91.52,110.44,108.31,7.8,7.2,6.6,7,7.4,7.6,7,6,1.4,1044,111.696960449219
12919,6.4,8.9,12.6,7.5,4.5,30.5,33,2.74,1.78,100.99,96.33,103.69,104.02,103.19,97.22,101,100.1,7,8,7.4,7.4,8,8,6,6.8,1.3,1006,153.178405761719
15286,2.9,7.1,0.4,11.1,4.8,32,34.5,0,-4.35,119.38,113.18,87.01,104.71,99.69,120.5,81.11,91.94,7.6,6.2,6.4,6,6,7.8,8,7,1.8,944,103.761917114258
7151,4.3,3.7,3.1,1,0.6,31.5,30.5,3.94,1.46,97.32,96.21,97.41,100.19,104.23,100.5,98.1,99.89,6.2,7.8,7.4,7.8,8,6,6.8,6.4,1.2,996,134.19807434082
1314,3.9,10,17.9,15.3,11,29,26.5,0.28,-0.83,95.23,95.2,99.18,104.66,96.48,97.7,94.02,96,6.6,7.4,6.8,7.2,7.4,7,6.6,6.6,1.2,916,144.136627197266
